,0
"A1CAP, ACP",4028e4a1416e696301416f37201c5f2e
A1YEN,8acae2c5794d3d66017a62a693be689d
ACSEL,4028e4a2420327a4014209c55161144d
ADEL,4028e4a240e8d16e0140e8f159dc0033
ADESE,4028e4a140f2ed720141164431b905a5
ADY,4028e4a241462fd801414fba39be3020
AFYON,4028e4a24158e42401415af83d607fd3
AGESA,4028e4a140e95bea0140edeb7a54015d
AGHOL,4028e4a240f2ef4c014101b18dc000f7
AKENR,4028e4a14184e9cf01419bffce0b5a69
AKFGY,4028e4a141733b56014183c1c6ed426e
"AKM, AKMEN",4028e4a240e8d16e0140e8f3d0fe0047
ALARK,4028e4a241462fd80141500c738e36be
"ALBMD, ALM",4028e4a14184e9cf0141919d4219154a
ALCAR,4028e4a241558bd9014155e085e305fd
ALCTL,4028e4a140f2ed71014110e38acb01b5
ALGYO,4028e4a241462fd801415005df1c3612
ALKA,4028e4a2416e697d01416f39965a5eb5
ALKIM,4028e4a140e95be70140ed147846003c
ALN,4028e4a141733b510141742cacbd1f6d
"ALNUS, ANC",4028e4a141da49e50141e085b2112b8a
AMK,4028e4a140f2ed7201412af41cf9073f
ANELE,4028e4a1416e696301416ecd11a12b86
ANELT,4028e4a1416e696301416ece42212bee
ANGEN,8acae2c47afb298b017bed9f037a7185
ARENA,4028e4a140e95bea0140ed5af3a000da
ARSAN,4028e4a14158e41f01415b1862696142
ARTI,4028e4a140f2ed7201413a25ce270878
ARZUM,4028e4a1415f4d990141600875c531b9
ASUZU,4028e4a140e95be70140ed43c4fe00a9
"ATA, ATAYM",4028e4a140e95bea0140ede507ca0145
ATLAS,4028e4a240f2ef4c0141029fff920169
AVGYO,4028e4a240f2ef4c0141029cf7680164
AVHOL,1DE05DAA81E9073AE0530A4A622A2EBD
AVTUR,4028e4a241733d42014182b942a247e4
AYCES,4028e4a240e95dc90140ed1bc88e0071
AYEN,4028e4a240e95dc90140edf072ef0165
AYX,b50f7181e8214f789bc426313a5b4b4a
AZTEK,8acae2c4819d0efe01826e96dd896e0e
BAGFS,4028e4a240f2ef4701410810f53601c4
BAKAB,4028e4a1415f4d9b01415fdc75f12f64
BANVT,4028e4a1415f4d990141601902e33250
BARMA,8acae2c47f7cb491017fb5f0afdf174a
BAYRK,8acae2c56faf888c0170a0e2d88d77c3
BEGYO,8acae2c48b2fa25a018c01ae7c3973de
BERA,4028e4a241733d42014174023cb0192b
BESLR,4028e4a1416e696301416ec5743e289d
BEYAZ,4028e4a141558bdd01415619e62c0577
BIGCH,8acae2c486d22a3a0187c6822e7324e6
BIZIM,4028e4a1416e696301416ec4471d280d
BLCYT,4028e4a2413b80d1014144caf7b90037
BLUME,4028e4a240f2ef4c0140f2f8fdcd0002
BMK,4028e4a241733d4201417400145118bf
BMSCH,8acae2c56eccfc0c016f18f5b1e21747
BMSTL,8acae2c47f7cb49201802bda6cbf6b77
BNTAS,402821824da3aa9b014ef2c4cda22947
BOSSA,4028e4a1415f4d9b014160053ed13d39
BRKVY,8acae2c562329bd10162b9ff7a6b53d6
BRLSM,8acae2c4794d3648017aa01a43690c1f
BUCIM,4028e4a140ee35c00140ee41a5e4000f
BURCE,4028e4a14158e41e01415b2636586ca7
BURVA,4028e4a14158e41e01415b2789266cb6
BVSAN,8acae2c5830502c30185dea8694c5722
CASA,4028e4a240f2ef4c01413acf8cda06cc
CATES,8acae2c58b2fa64e018bfaefef6b6fcd
CELHA,4028e4a240f2ef4c0141164dd92d044c
CEMAS,4028e4a140f2ed7201413b14392508fb
CEMTS,4028e4a140ee84900140f1f334ce0025
CEOEM,8acae2c469cee2a20169ed8afa9112ee
CIMSA,4028e4a240ee866c0140f1f64bdb0014
CMBTN,4028e4a24158e42401415ad0dece7d3a
CONSE,8acae2c57f7cbb48018007c3ad6154d4
CRFSA,4028e4a140ee35c00140ee56930f0024
CSM,4028e4a241da4bed0141dfd9d3402866
CUSAN,8acae2c552495f6401529d6a45d10598
DAGI,4028e4a140f2ed7101411160c8c6020f
DARDL,4028e4a144a0804e014521a6ca1c0705
DENGE,4028e4a240ee866c0140f1f80b55002b
"DENIZ, DNZ",4028e4a240f2ef4c01412b0cbaf605a3
DERHL,8acae2c469cee2a4016a5492160c43c3
DERIM,4028e4a140f2ed710141116818390237
